Spanish,English
el / la,the
de,of
que,that / what
y,and
a,to
en,in
un,a
ser,to be
se,"pronoun, reflexive marker, himself / herself"
no,no
haber,"to have, hay, había"
por,for
con,with
su,"his, hers, theirs"
para,for
como,"like, as"
estar,to be
tener,to have
le,to him
lo,the (lo mejor es estudiar mucho)
lo,it (lo compré en la tienda)
todo,all
pero,but
más,more
hacer,"to do, make"
o,or
poder,to be able to
decir,"to say, tell"
este,this
ir,to go
otro,other
ese,that
la,it (feminine)
si,"if, whether"
me,"pronoun, me (¿cuándo me va a llamar?)"
ya,"already, still"
ver,to see
porque,because
dar,to give
cuando,when
él,he
muy,very
sin,without
vez,time
mucho,a lot
saber,to know
qué,"what, that"
sobre,about
mi,my
alguno,some
mismo,same
yo,I
también,also
hasta,until
año,year
dos,two
querer,to want
entre,between
así,like that
primero,first
desde,since
grande,"large, great, big"
eso,that
ni,"not, neither"
nos,us
llegar,arrive
pasar,to pass
tiempo,"time, weather"
ella,her / she
sí,yes
día,the day
uno,one
bien,well
poco,a little
deber,should
entonces,then
poner,to put
cosa,thing
tanto,so much
hombre,the man
parecer,to appear
nuestro,our
tan,so much
donde,where
ahora,now
parte,part
después,after
vida,life
quedar,to stay
siempre,always
creer,to believe
hablar,to talk
llevar,"to wear, carry"
dejar,to leave
nada,nothing
cada,each
seguir,to follow
menos,"minus, less"
nuevo,new
encontrar,"to find, meet"
algo,something
sólo,"only, just"
pues,"then, well then"
llamar,to call
venir,to come
pensar,to think
aquel,that (over there)
momento,"moment, time"
sino,but rather
esto,this
salir,to leave
volver,to return
forma,"form, shape, way"
antes,before
bueno,good
casa,house
aunque,even though
mundo,world
tres,three
tal,such
mejor,better
tomar,"to take, drink"
cierto,TRUE
conocer,"to meet, know"
hacía,"toward, towards"
cómo,how?
mujer,woman
vivir,to live
aquí,here
caso,case / ocasión
sentir,to feel
luego,later
país,country
tratar,to try
lugar,place
te,you (¿no te han hablado?)
persona,person
mayor,"larger, older, main"
último,"last, final"
propio,own
quién,"who, whom"
mirar,"to look, watch"
hora,hour
ninguno,"none, nobody"
trabajo,work (noun)
casi,almost
punto,"point, dot, period"
durante,during
cualquier,"any, anyone"
mano,hand
fin,end
tipo,"type, kind"
gente,people
además,"in addition to, also, as well, besides"
solo,"lonely, alone"
empezar,to begin
ejemplo,"example (por ejemplo, for example)"
esperar,to wait
hoy,today
lado,"side (al lado, beside)"
hijo,son
allí,there
este,this one
problema,problem
cuenta,"bill, account"
medio,"means, middle"
contra,"against, opposite"
buscar,to look for
dentro,"within, inside"
largo,long
palabra,word
existir,to exist
niño,child
entrar,to enter
embargo,"sin embargo, however, nevertheless"
único,"only, unique, sole"
padre,father
trabajar,to work
pequeño,small
alto,tall
cambio,change
escribir,to write
cuatro,four
ahí,there
perder,to lose
nosotro,we
historia,"history, story"
idea,idea
agua,water
producir,to produce
noche,night
cuidad,city
modo,"way, manner"
nombre,name
ocurrir,to occur
